target,numax(smooth),numax(smooth)_err,maxamp(smooth),maxamp(smooth)_err,numax(gauss),numax(gauss)_err,maxamp(gauss),maxamp(gauss)_err,fwhm,fwhm_err,dnu,dnu_err
159580128,595.947939199791,23.71956340326045,5.731314746620855e-12,2.2307252413185664e-12,585.8357021331296,22.527271247778586,5.917841093348523e-12,2.479120346407532e-12,62.53820723460896,16.97259988414114,38.44793932335746,3.623822186609232
165722603,38.49226028263071,0.6967323145322489,4.836161888258633e-09,1.20368832697156e-09,38.5645216461201,0.7009922183257691,4.535284416591194e-09,1.070876412884458e-09,4.347806580062612,0.4805826812606537,4.0656342846919165,0.12667860264222774
224312054,40.28552300756146,0.7747658769237752,2.8505747249830104e-09,7.797340740714499e-10,41.105399138592475,0.8107909133018519,2.8983499711604117e-09,7.933300368587922e-10,4.428902091368751,0.6323309142797783,4.1364132978478185,0.07043326153852454
224598071,38.53614233538368,1.2189950953052042,2.0694440964986283e-09,5.286357985625457e-10,36.89305766553164,1.4179333476741962,2.1415325281272846e-09,6.446365216449731e-10,5.785460595382036,1.1717788228239063,4.241290251405492,0.3444986138906016
24978373,900.3718814734767,4.235269463095227,3.6334606823977254e-11,7.973290068731819e-12,901.0762331851347,3.503828065864811,3.771515239326415e-11,8.011863263358514e-12,65.37473988704834,3.830834986840749,27.87787922076577,0.14760992766820086
252183048,38.689135303324896,1.38218308030779,4.758814870316538e-09,1.885130424056143e-09,38.90485499916265,1.4434315302694305,4.605893914212167e-09,1.8064567577589653e-09,4.973302425303235,1.2965882105851678,3.8740333442692565,0.3455457700769456
284627497,30.77313893616512,0.6779838365134373,1.2521346334977444e-08,3.2948583534057224e-09,31.35933931280753,0.7240895145343257,1.2016784215352356e-08,2.933717990815423e-09,3.621623462073496,0.5366293193235973,3.7865371630517832,0.07976280429569865
293806873,128.3681774962555,5.64387731124434,1.5847002118093956e-10,3.2429386531625114e-11,126.10384452904472,2.6645448995024816,1.7036034231293537e-10,3.045139500542553e-11,15.570108332110285,1.5905443290030037,10.450637510831749,0.18504515774571748
310836777,30.199810167021905,1.3776709400638418,5.499424175479534e-09,3.646233258504495e-09,30.093091088500127,1.371654227116221,5.2727246804522235e-09,3.523868972309313e-09,2.259318416225644,0.6622130649594986,3.2596728863183912,0.6888354700319184
334753043,204.95664927602832,4.535360939016599,6.577335238065959e-11,3.381822440945711e-11,205.6387403902532,4.067361635436578,6.731598374927361e-11,3.3465166413880785e-11,17.841420775189096,1.8283890435794081,14.61535132540663,0.0
353988778,250.906171795529,2.097527408661744,2.383298924630004e-11,5.201938788556613e-12,251.5644425142553,2.0465787951708507,2.4811532077857123e-11,5.1735129017170374e-12,19.334442791709407,1.3345087397173858,17.098323147104008,0.07316956076727174
367912480,187.55134745595174,1.2949637942595276,3.421709525481725e-10,5.412935044738584e-11,187.91423683059705,1.1669198373931209,3.4346567420725065e-10,5.094079682663394e-11,19.540329959804705,1.1935077977074704,13.578018803966026,0.07848265419754784
376975340,42.87056049525303,0.7560858139156138,1.4817567010498225e-09,3.4687715435229477e-10,42.595705386662075,0.8883740354907399,1.3778274310559514e-09,3.3779235330112397e-10,5.842736969328683,1.0897756680852269,4.264582696572706,0.04877972993003858
441797545,37.90243455026646,1.0975436240427434,2.7832055462010558e-09,4.2056716742613884e-10,38.05529278885996,0.6964299438113872,2.8850694300076808e-09,3.844946832622724e-10,5.688950821682267,0.6084692150795958,4.335837927607127,0.2926782997447317
459186567,27.760358025753888,0.7976272944862887,1.0149677003134877e-08,4.281448179986383e-09,27.980815567203283,1.0085928220047484,9.933503242784756e-09,4.551391092601088e-09,2.557801583418456,0.5550478160737826,3.402097108702136,0.3988136472431447
95473936,940.3911082015685,20.685844855824765,1.4367375433222832e-12,6.362348998785602e-13,956.5488377577374,28.053216653551036,1.3620331250533132e-12,5.632438015318538e-13,105.70628534047695,33.776840338079914,49.767174926548,3.100171410499596
